epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.9084,1.66595,2.07154,1.40872,0.48712,0.46281,0.45307,0.27977,1.19315,1.21752,1.13396,0.000465508,0.000465508,0.000465508
2,64.963,1.25745,0.96299,1.0951,0.7101,0.58356,0.61946,0.38661,1.21313,1.04493,1.25154,0.000932517,0.000932517,0.000932517
3,98.7254,1.25677,0.86216,1.10092,0.62523,0.51299,0.52285,0.33624,1.17909,1.08117,1.24192,0.00139009,0.00139009,0.00139009
4,130.157,1.22911,0.83449,1.11104,0.62083,0.57053,0.56217,0.35695,1.19016,0.98289,1.2106,0.00138656,0.00138656,0.00138656
5,157.914,1.21706,0.80988,1.09414,0.86575,0.52768,0.6335,0.39495,1.15774,0.92981,1.20858,0.00137241,0.00137241,0.00137241
6,189.204,1.215,0.76284,1.07383,0.78199,0.5959,0.67283,0.42315,1.19797,0.85809,1.23694,0.00135826,0.00135826,0.00135826
7,217.719,1.19856,0.74908,1.07568,0.70055,0.67983,0.65239,0.4234,1.11564,0.76851,1.16273,0.00134412,0.00134412,0.00134412
8,248.121,1.17803,0.73198,1.06455,0.68417,0.68884,0.70738,0.46025,1.15638,0.71614,1.1518,0.00132997,0.00132997,0.00132997
9,279.837,1.18179,0.72812,1.04885,0.87744,0.62927,0.6885,0.42652,1.12439,0.6895,1.14707,0.00131582,0.00131582,0.00131582
10,307.174,1.16373,0.69269,1.06241,0.78954,0.68335,0.71903,0.47147,1.12946,0.69723,1.14569,0.00130168,0.00130168,0.00130168
11,337.576,1.1649,0.68246,1.06406,0.79736,0.69049,0.76096,0.48954,1.13371,0.68321,1.13492,0.00128753,0.00128753,0.00128753
12,368.99,1.14465,0.66767,1.04761,0.80534,0.62741,0.67977,0.41639,1.21042,0.72723,1.19277,0.00127338,0.00127338,0.00127338
13,399.728,1.1371,0.67817,1.03818,0.74238,0.66253,0.70407,0.45343,1.14041,0.75095,1.1588,0.00125923,0.00125923,0.00125923
14,431.127,1.11828,0.65364,1.0351,0.7355,0.71803,0.74171,0.48867,1.10206,0.66022,1.11819,0.00124509,0.00124509,0.00124509
15,459.275,1.08382,0.63705,1.02512,0.83292,0.72061,0.77917,0.49055,1.17174,0.65288,1.14409,0.00123094,0.00123094,0.00123094
16,490.124,1.11932,0.63704,1.02638,0.81025,0.74638,0.77853,0.52448,1.09287,0.61498,1.10892,0.00121679,0.00121679,0.00121679
17,518.78,1.11563,0.62931,1.02962,0.74527,0.72833,0.70891,0.47355,1.08181,0.6457,1.09835,0.00120265,0.00120265,0.00120265
18,548.325,1.08642,0.60904,1.01627,0.83909,0.71226,0.77589,0.52873,1.05842,0.60114,1.08912,0.0011885,0.0011885,0.0011885
19,579.743,1.07859,0.6027,1.0278,0.83787,0.69724,0.73199,0.48495,1.14595,0.68967,1.11437,0.00117435,0.00117435,0.00117435
20,607.44,1.10608,0.63554,1.02431,0.8546,0.72354,0.76021,0.5019,1.06956,0.6733,1.08418,0.00116021,0.00116021,0.00116021
21,641.868,1.07004,0.58855,1.01807,0.87056,0.73709,0.79706,0.531,1.0925,0.6519,1.11296,0.00114606,0.00114606,0.00114606
22,672.729,1.07608,0.58618,1.01765,0.89429,0.71447,0.81007,0.54655,1.041,0.58581,1.07093,0.00113191,0.00113191,0.00113191
23,700.682,1.06419,0.57914,1.00178,0.86463,0.68913,0.77275,0.50004,1.12951,0.61325,1.11338,0.00111776,0.00111776,0.00111776
24,732.547,1.06733,0.56867,0.99871,0.79338,0.70834,0.75923,0.49482,1.04485,0.5873,1.08154,0.00110362,0.00110362,0.00110362
25,760.041,1.0631,0.57147,1.00796,0.82657,0.71825,0.76011,0.52042,1.04626,0.57919,1.07203,0.00108947,0.00108947,0.00108947
26,791.211,1.06244,0.57863,0.99762,0.8083,0.67713,0.74229,0.48787,1.06742,0.64643,1.08488,0.00107532,0.00107532,0.00107532
27,822.759,1.04019,0.56263,0.99294,0.84098,0.69838,0.77447,0.51516,1.06344,0.59251,1.08515,0.00106118,0.00106118,0.00106118
28,850.395,1.03206,0.55314,0.98424,0.84978,0.71355,0.76621,0.50537,1.13341,0.62863,1.11973,0.00104703,0.00104703,0.00104703
29,881.729,1.02622,0.54983,0.99501,0.77025,0.7414,0.74639,0.49041,1.0685,0.5939,1.10086,0.00103288,0.00103288,0.00103288
30,913.811,1.03503,0.54137,0.97815,0.83521,0.71826,0.79193,0.51781,1.10121,0.57286,1.09592,0.00101873,0.00101873,0.00101873
31,943.902,1.03669,0.54921,0.99188,0.74361,0.75883,0.78309,0.51588,1.09246,0.58105,1.0906,0.00100459,0.00100459,0.00100459
32,975.349,1.03726,0.5516,0.98548,0.89976,0.6811,0.78881,0.51155,1.06922,0.55202,1.0929,0.00099044,0.00099044,0.00099044
33,1003.18,1.0308,0.54745,0.98027,0.87722,0.67774,0.75301,0.50911,1.0426,0.60045,1.06434,0.000976293,0.000976293,0.000976293
